time,x,y,z,vx,vy,vz
4.100000000000000172e-02,-8.876565583411183402e-03,-8.921134094881781954e-03,7.970605275208308971e-02,-4.086907357815358632e-01,-4.107427386169170691e-01,3.669776918124965537e+00
4.200000000000000261e-02,-9.294570028210364862e-03,-9.341237305889326520e-03,8.345945948881756948e-02,-4.180044447991807521e-01,-4.201032110075451631e-01,3.753406736734477889e+00
4.300000000000000350e-02,-9.721859611146507762e-03,-9.770672274954757958e-03,8.729623941493200312e-02,-4.272895829361436082e-01,-4.294349690654306606e-01,3.836779926114431305e+00
4.399999999999999745e-02,-1.015840520803009371e-02,-1.020940973165837540e-02,9.121613093159861019e-02,-4.365455968835863509e-01,-4.387374567036170236e-01,3.919891516666612397e+00
4.499999999999999833e-02,-1.060417714905323786e-02,-1.065741985722261018e-02,9.521886753948836934e-02,-4.457719410231443802e-01,-4.480101255642343072e-01,4.002736607889755049e+00
4.599999999999999922e-02,-1.105914522658807062e-02,-1.111467229234955681e-02,9.930417790883722118e-02,-4.549680775348322048e-01,-4.572524351269467990e-01,4.085310369348854387e+00
4.700000000000000011e-02,-1.152327870308883159e-02,-1.158113614516274870e-02,1.034717859504440673e-01,-4.641334765007618102e-01,-4.664638528131919704e-01,4.167608041606849945e+00
4.800000000000000100e-02,-1.199654631909347936e-02,-1.205677999924893370e-02,1.077214108875625131e-01,-4.732676160046481173e-01,-4.756438540861856468e-01,4.249624937118447576e+00
4.900000000000000189e-02,-1.247891630132055840e-02,-1.254157192179560301e-02,1.120527673286483838e-01,-4.823699822270784976e-01,-4.847919225466699178e-01,4.331356441085869591e+00
5.000000000000000278e-02,-1.297035637085708695e-02,-1.303547947181998845e-02,1.164655653409247676e-01,-4.914400695365283012e-01,-4.939075500243855221e-01,4.412798012276379467e+00
5.100000000000000366e-02,-1.347083375143319321e-02,-1.353846970848524185e-02,1.209595105247261992e-01,-5.004773805761066896e-01,-5.029902366652531098e-01,4.493945183801434595e+00
5.200000000000000455e-02,-1.398031517777921506e-02,-1.405050919949949427e-02,1.255343040885835704e-01,-5.094814263460217818e-01,-5.120394910142528344e-01,4.574793563857365797e+00
5.299999999999999850e-02,-1.449876690406097166e-02,-1.457156402959348777e-02,1.301896429250110898e-01,-5.184517262817569527e-01,-5.210548300939928934e-01,4.655338836427518778e+00
5.399999999999999939e-02,-1.502615471238892553e-02,-1.510159980907245167e-02,1.349252196869568932e-01,-5.273878083279540663e-01,-5.300357794789637422e-01,4.735576761945812230e+00
5.500000000000000028e-02,-1.556244392139692796e-02,-1.564058168243792624e-02,1.397407228648785971e-01,-5.362892090080023655e-01,-5.389818733654763161e-01,4.815503177921702793e+00
5.600000000000000117e-02,-1.610759939488626280e-02,-1.618847433707521280e-02,1.446358368644051762e-01,-5.451554734893357956e-01,-5.478926546372873130e-01,4.895113999526589765e+00
5.700000000000000205e-02,-1.666158555053070742e-02,-1.674524201200213239e-02,1.496102420845468739e-01,-5.539861556444451995e-01,-5.567676749269179215e-01,4.974405220141703943e+00
5.800000000000000294e-02,-1.722436636863832263e-02,-1.731084850667480649e-02,1.546636149964144280e-01,-5.627808181076136007e-01,-5.656064946726734322e-01,5.053372911867565875e+00
5.900000000000000383e-02,-1.779590540096570930e-02,-1.788525718984618554e-02,1.597956282224095581e-01,-5.715390323273880080e-01,-5.744086831713790531e-01,5.132013225995130767e+00
5.999999999999999778e-02,-1.837616577958051112e-02,-1.846843100847303173e-02,1.650059506158483291e-01,-5.802603786148033960e-01,-5.831738186268456969e-01,5.210322393438761246e+00
6.099999999999999867e-02,-1.896511022576788733e-02,-1.906033249666711643e-02,1.702942473409795321e-01,-5.889444461873774017e-01,-5.919014881940857231e-01,5.288296725131192311e+00
6.199999999999999956e-02,-1.956270105897678704e-02,-1.966092378468641683e-02,1.756601799533602237e-01,-5.975908332088986086e-01,-6.005912880193007286e-01,5.365932612380698075e+00
6.300000000000000044e-02,-2.016890020580182005e-02,-2.027016660796208264e-02,1.811034064805508992e-01,-6.061991468250325088e-01,-6.092428232756667006e-01,5.443226527190677899e+00
6.400000000000000133e-02,-2.078366920899659548e-02,-2.088802231615702679e-02,1.866235815030928280e-01,-6.147690031947742328e-01,-6.178557081949445084e-01,5.520175022541916832e+00
6.500000000000000222e-02,-2.140696923651437544e-02,-2.151445188225197327e-02,1.922203562357306383e-01,-6.233000275177787985e-01,-6.264295660949471545e-01,5.596774732637803673e+00
6.600000000000000311e-02,-2.203876109057197746e-02,-2.214941591165487181e-02,1.978933786088434288e-01,-6.317918540576020758e-01,-6.349640294028976450e-01,5.673022373112803329e+00
6.700000000000000400e-02,-2.267900521673286637e-02,-2.279287465132958518e-02,2.036422933500479371e-01,-6.402441261608894374e-01,-6.434587396747140087e-01,5.748914741204514733e+00
6.800000000000000488e-02,-2.332766171300541813e-02,-2.344478799893984569e-02,2.094667420659376000e-01,-6.486564962725518413e-01,-6.519133476102614289e-01,5.824448715889673167e+00
6.900000000000000577e-02,-2.398469033895238994e-02,-2.410511551200445954e-02,2.153663633239220609e-01,-6.570286259469700907e-01,-6.603275130646130142e-01,5.899621257984464684e+00
7.000000000000000666e-02,-2.465005052480766234e-02,-2.477381641705982476e-02,2.213407927341316250e-01,-6.653601858552726789e-01,-6.687009050553637257e-01,5.974429410209553204e+00
7.100000000000000755e-02,-2.532370138059639522e-02,-2.545084961882587010e-02,2.273896630313518574e-01,-6.736508557887325166e-01,-6.770332017660446455e-01,6.048870297220242165e+00
7.200000000000000844e-02,-2.600560170525472933e-02,-2.613617370937155668e-02,2.335126041569540734e-01,-6.819003246583332789e-01,-6.853240905456867704e-01,6.122941125602212153e+00
7.299999999999999545e-02,-2.669570999574528633e-02,-2.682974697727614349e-02,2.397092433407873591e-01,-6.901082904905553317e-01,-6.935732679045860660e-01,6.196639183833292819e+00
